Model,RMSE,MAE,R²,MAPE
Random Forest,109.28492486435584,68.06365018482735,0.551465386067042,26.99986480529834
Lasso Regression,110.56957839356345,73.61382035855064,0.5408582820522247,30.87600267560333
Linear Regression,110.9511103751876,73.88488280887393,0.5376841814393101,30.9539787907698
Ridge Regression,110.96713332301125,73.83621178570574,0.5375506415927837,30.937200962479643
Gradient Boosting,124.43287722715856,79.07844932155665,0.41850533543236235,30.918869424328538
